#species    subspecies         longitud  latitu   altitu
furcata    boliviana           -68.85    -11.15    325
furcata    boliviana           -67.38    -14.32    232
furcata    boliviana           -67.55    -14.33    196
furcata    boliviana           -67.58    -14.50    575
furcata    boliviana           -68.17    -15.25    491
furcata    boliviana           -67.75    -15.27    400
furcata    boliviana           -68.46    -15.27   1200
furcata    boliviana           -68.27    -15.37   1400
furcata    boliviana           -67.80    -15.45    600
furcata    boliviana           -67.87    -15.47    450
furcata    boliviana           -67.50    -15.50    600
furcata    boliviana           -67.52    -15.50    400
furcata    boliviana           -67.15    -15.52   1025
furcata    boliviana           -67.66    -15.82   1350
furcata    boliviana           -67.57    -15.83    700
furcata    boliviana           -67.92    -15.89   1000
furcata    boliviana           -64.70    -15.97    200
furcata    boliviana           -67.18    -16.03   1300
furcata    boliviana           -66.74    -16.32   1200
furcata    boliviana           -67.54    -16.40   2000
furcata    boliviana           -67.71    -16.41   2000
furcata    boliviana           -66.96    -16.64   1350
furcata    boliviana           -65.12    -16.73    300
furcata    boliviana           -65.13    -16.80    300
furcata    boliviana           -65.40    -16.95    400
furcata    boliviana           -65.37    -16.97    400
furcata    boliviana           -65.67    -17.08    700
furcata    boliviana           -65.52    -17.10   1000
furcata    boliviana           -63.55    -17.32    250
furcata    boliviana           -63.75    -17.40    332
furcata    boliviana           -65.02    -17.46    800
furcata    boliviana           -63.63    -17.49    450
furcata    boliviana           -63.17    -17.80    480
furcata    boliviana           -63.61    -18.17   1160
furcata    boliviana           -63.76    -18.80   1100
furcata    boliviana           -63.96    -19.21   1200
furcata    boliviana           -64.06    -19.32   1300
furcata    boliviana           -64.03    -19.82   1400
furcata    boliviana           -70.97     -9.97    300
furcata    boliviana           -71.27    -11.92    350
furcata    boliviana           -70.92    -12.22    400
furcata    boliviana           -72.83    -12.33    450
furcata    boliviana           -69.05    -12.53    200
furcata    boliviana           -69.18    -12.60    200
furcata    boliviana           -70.33    -12.65    280
furcata    boliviana           -71.23    -12.67    800
furcata    boliviana           -69.73    -12.68    300
furcata    boliviana           -69.50    -12.83    200
furcata    boliviana           -71.25    -12.83    600
furcata    boliviana           -69.28    -12.85    200
furcata    boliviana           -71.31    -12.87    900
furcata    boliviana           -70.30    -12.92    400
furcata    boliviana           -68.88    -12.95    175
furcata    boliviana           -71.18    -13.00    870
furcata    boliviana           -71.24    -13.12   1200
furcata    boliviana           -69.60    -13.13    400
furcata    boliviana           -70.37    -13.20    500
furcata    boliviana           -70.30    -13.28    500
furcata    boliviana           -70.59    -13.28    630
furcata    boliviana           -70.64    -13.30   1000
furcata    boliviana           -69.62    -13.37    400
furcata    boliviana           -69.68    -13.52    460
furcata    boliviana           -69.56    -13.64    573
furcata    boliviana           -69.97    -13.80    730
furcata    boliviana           -69.66    -13.88    980
