#species subspecies long lat
furcata boliviana -68.85 -11.15
furcata boliviana -67.38 -14.32
furcata boliviana -67.55 -14.33
furcata boliviana -67.58 -14.50
furcata boliviana -68.17 -15.25
furcata boliviana -67.75 -15.27
furcata boliviana -68.46 -15.27
furcata boliviana -68.27 -15.37
furcata boliviana -67.80 -15.45
furcata boliviana -67.87 -15.47
furcata boliviana -67.50 -15.50
furcata boliviana -67.52 -15.50
furcata boliviana -67.15 -15.52
furcata boliviana -67.66 -15.82
furcata boliviana -67.57 -15.83
furcata boliviana -67.92 -15.89
furcata boliviana -64.70 -15.97
furcata boliviana -67.18 -16.03
furcata boliviana -66.74 -16.32
furcata boliviana -67.54 -16.40
furcata boliviana -67.71 -16.41
furcata boliviana -66.96 -16.64
furcata boliviana -65.12 -16.73
furcata boliviana -65.13 -16.80
furcata boliviana -65.40 -16.95
furcata boliviana -65.37 -16.97
furcata boliviana -65.67 -17.08
furcata boliviana -65.52 -17.10
furcata boliviana -63.55 -17.32
furcata boliviana -63.75 -17.40
furcata boliviana -65.02 -17.46
furcata boliviana -63.63 -17.49
furcata boliviana -63.17 -17.80
furcata boliviana -63.61 -18.17
furcata boliviana -63.76 -18.80
furcata boliviana -63.96 -19.21
furcata boliviana -64.06 -19.32
furcata boliviana -64.03 -19.82
furcata boliviana -70.97 -9.97
furcata boliviana -71.27 -11.92
furcata boliviana -70.92 -12.22
furcata boliviana -72.83 -12.33
furcata boliviana -69.05 -12.53
furcata boliviana -69.18 -12.60
furcata boliviana -70.33 -12.65
furcata boliviana -71.23 -12.67
furcata boliviana -69.73 -12.68
furcata boliviana -69.50 -12.83
furcata boliviana -71.25 -12.83
furcata boliviana -69.28 -12.85
furcata boliviana -71.31 -12.87
furcata boliviana -70.30 -12.92
furcata boliviana -68.88 -12.95
furcata boliviana -71.18 -13.00
furcata boliviana -71.24 -13.12
furcata boliviana -69.60 -13.13
furcata boliviana -70.37 -13.20
furcata boliviana -70.30 -13.28
furcata boliviana -70.59 -13.28
furcata boliviana -70.64 -13.30
furcata boliviana -69.62 -13.37
furcata boliviana -69.68 -13.52
furcata boliviana -69.56 -13.64
furcata boliviana -69.97 -13.80
furcata boliviana -69.66 -13.88
